ACC_X,ACC_Y,ACC_Z,BVP,EDA,TEMP,HR,Label
7,5,61,-0.0,0.0,382.21,85.0,Neutral
5,5,66,-0.05,0.863495,382.21,73.0,Neutral
4,6,65,6.2,1.2066,382.21,76.33,Neutral
7,6,62,22.9,1.644173,382.21,71.75,Neutral
6,6,63,93.76,2.121433,33.21,69.2,Neutral
7,6,63,208.53,2.607748,33.21,69.83,Neutral
6,6,63,-537.23,3.104856,33.21,70.43,Neutral
6,6,61,71.03,3.61942,33.21,70.88,Neutral
7,5,60,139.79,4.114117,33.21,71.22,Neutral
7,6,60,31.7,4.601659,33.21,71.5,Neutral
7,6,62,-13.39,4.90731,33.21,71.73,Neutral
7,6,62,36.31,4.931615,33.21,71.33,Neutral
7,7,62,4.91,4.955921,33.21,71.0,Neutral
7,6,62,-5.15,5.003992,33.21,70.71,Neutral
7,6,62,1.61,5.027019,33.21,70.4,Neutral
7,6,62,0.77,5.038532,33.21,70.06,Neutral
8,6,62,-14.92,5.046207,33.23,69.76,Neutral
7,7,62,16.29,5.051324,33.23,69.5,Neutral
7,6,63,2.33,5.060279,33.23,69.32,Neutral
7,6,62,-6.08,5.051324,33.23,69.2,Neutral
7,6,61,-30.65,5.052604,33.21,69.14,Neutral
7,6,62,44.12,5.062838,33.21,68.95,Neutral
8,6,63,19.09,5.070513,33.21,68.74,Neutral
7,6,62,-15.79,5.065396,33.21,68.5,Neutral
7,6,62,-38.0,5.073072,33.23,68.36,Neutral
8,6,63,13.29,5.085865,33.23,68.15,Neutral
8,6,62,3.67,5.09354,33.23,67.93,Neutral
7,6,62,-43.67,5.096098,33.23,67.71,Neutral
7,7,63,30.64,5.103774,33.27,67.55,Neutral
7,6,62,15.44,5.103774,33.27,67.43,Neutral
7,7,62,-29.01,5.108891,33.27,67.35,Neutral
7,6,62,35.33,5.112729,33.27,67.28,Neutral
5,5,61,16.87,5.117846,33.25,67.24,Neutral
6,6,62,-25.43,5.120404,33.25,67.24,Neutral
6,6,63,-52.26,5.121683,33.25,67.26,Neutral
6,6,62,48.22,5.122962,33.25,67.28,Neutral
6,6,63,22.32,5.128079,33.27,67.32,Neutral
7,6,62,-28.02,5.121683,33.27,67.34,Neutral
6,6,62,8.09,5.129359,33.27,67.38,Neutral
7,6,63,11.92,5.131917,33.27,67.4,Neutral
7,6,62,-2.26,5.122962,33.29,67.44,Neutral
6,6,62,-35.9,5.119125,33.29,67.48,Neutral
6,6,62,31.18,5.129359,33.29,67.51,Neutral
6,6,62,18.27,5.135755,33.29,67.52,Neutral
7,7,63,-17.85,5.147268,33.29,67.6,Neutral
6,6,62,-35.09,5.148548,33.29,67.72,Neutral
6,6,63,16.39,5.143431,33.29,67.81,Neutral
6,6,63,8.74,5.143431,33.29,67.85,Neutral
6,6,63,-21.63,5.133197,33.29,67.88,Neutral
6,7,63,-21.1,5.149827,33.29,67.9,Neutral
7,6,62,13.12,5.152385,33.29,67.9,Neutral
6,6,62,9.42,5.148548,33.29,67.92,Neutral
6,6,63,-22.86,5.145989,33.29,67.92,Neutral
6,6,63,-5.07,5.157502,33.29,67.94,Neutral
7,6,62,13.72,5.149827,33.29,67.85,Neutral
7,6,62,5.1,5.160061,33.29,67.8,Neutral
8,6,62,-26.37,5.166457,33.31,67.91,Neutral
7,6,62,18.67,5.172853,33.31,68.03,Neutral
7,6,62,7.25,5.185646,33.31,68.19,Neutral
8,7,61,-10.49,5.180529,33.31,68.38,Neutral
8,6,61,-42.25,5.185646,33.33,68.35,Neutral
7,6,62,26.89,5.188204,33.33,68.75,Neutral
7,6,62,11.89,5.184367,33.33,68.75,Neutral
7,6,61,-27.7,5.172853,33.33,69.12,Neutral
7,6,62,31.95,5.184367,33.34,69.43,Neutral
8,6,62,18.93,5.19588,33.34,69.53,Neutral
8,6,62,-14.42,5.188204,33.34,69.63,Neutral
8,6,62,-35.81,5.185646,33.34,69.73,Neutral
7,6,62,16.19,5.171574,33.37,69.97,Neutral
8,6,62,1.63,5.19588,33.37,70.2,Neutral
7,6,62,-39.49,5.185646,33.37,70.45,Neutral
8,7,62,32.62,5.174133,33.37,70.8,Neutral
7,6,62,20.13,5.183087,33.34,71.15,Neutral
7,6,62,-27.96,5.181808,33.34,71.52,Neutral
8,6,62,25.48,5.16262,33.34,71.88,Neutral
7,6,63,25.39,5.180529,33.34,72.25,Neutral
8,6,62,0.37,5.180529,33.37,72.63,Neutral
7,6,62,-50.1,5.176691,33.37,73.02,Neutral
8,6,62,39.88,5.183087,33.37,73.33,Neutral
8,7,62,26.52,5.183087,33.37,73.65,Neutral
8,7,63,-10.26,5.185646,33.39,73.98,Neutral
8,7,62,-53.24,5.19588,33.39,74.28,Neutral
8,6,62,36.22,5.143431,33.39,74.6,Neutral
8,7,62,19.18,5.176691,33.39,74.95,Neutral
8,7,62,-16.96,5.17797,33.39,75.23,Neutral
8,7,62,-33.34,5.165178,33.39,75.52,Neutral
8,7,62,19.25,5.17925,33.39,75.83,Neutral
8,7,62,8.1,5.17925,33.39,76.15,Neutral
8,6,61,-31.48,5.170295,33.39,76.5,Neutral
8,7,61,20.43,5.189484,33.39,76.77,Neutral
7,7,57,17.72,5.180529,33.39,76.97,Neutral
10,5,60,-0.42,5.180529,33.39,77.13,Neutral
9,7,62,-34.01,5.203556,33.39,77.28,Neutral
9,7,62,43.32,5.193321,33.39,77.42,Neutral
9,7,61,17.04,5.17925,33.39,77.52,Neutral
10,7,62,-9.99,5.189484,33.39,77.57,Neutral
9,7,61,-52.78,5.176691,33.41,77.52,Neutral
9,7,62,38.13,5.189484,33.41,77.5,Neutral
8,7,62,15.09,5.188204,33.41,77.48,Neutral
9,7,62,-28.74,5.17925,33.41,77.48,Neutral
9,7,62,31.94,5.176691,33.43,77.43,Neutral
8,7,62,13.26,5.181808,33.43,77.43,Neutral
8,7,62,-15.9,5.186925,33.43,77.6,Neutral
8,7,62,-15.21,5.185646,33.43,77.77,Neutral
9,7,61,12.31,5.181808,33.41,77.87,Neutral
9,7,62,-1.89,5.16134,33.41,77.93,Neutral
8,7,62,-51.41,5.180529,33.41,78.02,Neutral
8,7,62,32.45,5.17797,33.41,78.17,Neutral
8,7,62,17.1,5.176691,33.41,78.32,Neutral
8,7,62,-28.74,5.175412,33.41,78.45,Neutral
8,7,63,27.66,5.16134,33.41,78.6,Neutral
8,7,62,11.51,5.17797,33.41,78.7,Neutral
10,7,63,-8.8,5.175412,33.43,78.75,Neutral
9,7,62,-41.38,5.171574,33.43,78.78,Neutral
10,8,65,14.6,5.17797,33.43,78.95,Neutral
12,2,59,3.4,5.174133,33.43,79.08,Neutral
15,8,51,-39.55,5.16134,33.45,79.05,Neutral
55,-3,48,47.72,5.176691,33.45,79.0,Neutral
59,-17,2,41.34,5.11017,33.45,79.1,Neutral
57,-21,-22,25.38,5.094819,33.45,79.2,Neutral
46,-31,-29,-188.92,5.003992,33.43,79.28,Neutral
46,-31,-36,-194.59,4.948985,33.43,79.32,Neutral
39,-34,-41,-62.54,4.960498,33.43,79.4,Neutral
22,-20,-47,74.9,5.014226,33.43,79.5,Neutral
19,-10,-55,166.51,5.018064,33.45,79.7,Neutral
22,-4,-57,105.88,5.02446,33.45,79.82,Neutral
